2019-11-24T23:02:13.912-0200 [DEBUG] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasHorizontal - Retorno:1
2019-11-24T23:02:13.912-0200 [INFO] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.912-0200 [INFO] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasDiagonalRight - ##### Método iniciado #####
2019-11-24T23:02:13.912-0200 [INFO] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - ##### Método iniciado #####
2019-11-24T23:02:13.912-0200 [DEBUG] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - Parâmetros recebidos: 
2019-11-24T23:02:13.912-0200 [DEBUG] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 1- linhaStart: 2
2019-11-24T23:02:13.912-0200 [DEBUG] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 2- colunaStart: 0
2019-11-24T23:02:13.912-0200 [DEBUG] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 3- numberOfSequence: 0
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 4- numberOfSequence:2
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - Retorno:0
2019-11-24T23:02:13.913-0200 [INFO] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - ##### Método finalizado #####
2019-11-24T23:02:13.913-0200 [INFO] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - ##### Método iniciado #####
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - Parâmetros recebidos: 
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 1- linhaStart: 1
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 2- colunaStart: 0
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 3- numberOfSequence: 0
2019-11-24T23:02:13.913-0200 [DEBUG] 2019-11-24 23:02:13,913 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaDiagonalRight - 4- numberOfSequence:2
